,precision,recall,ndcg
0,0.0006907545164718385,0.0013815090329436772,0.001020553886243946
10,0.09723698193411263,0.19769917176930996,0.19718845239142035
20,0.10613708820403828,0.21562526356628378,0.2165591157308645
30,0.10975026567481402,0.22278161530286927,0.22496887938189097
40,0.11232731137088205,0.2280824604018016,0.22767882019277927
50,0.11410733262486716,0.23135974900055667,0.23053644481336621
60,0.1149574920297556,0.2336424438709242,0.232513340752695
70,0.1147715196599362,0.23328209604777086,0.23245171411733617
80,0.11490435706695006,0.23373163470134778,0.2335228852306083
90,0.11519659936238047,0.23438464652598553,0.23424531362306694
100,0.11607332624867163,0.23616255924970062,0.23226875490907123
110,0.11548884165781084,0.23502985678862404,0.23263212290583726
120,0.11434643995749202,0.2327648735725251,0.23142384201304425
130,0.1148777895855473,0.2336548841995176,0.2297883148373032
140,0.1140807651434644,0.23176121316397616,0.22758484284211397
150,0.11309776833156217,0.23019162323094314,0.2264505627994997
160,0.11339001062699258,0.23014354874078571,0.22665429778513232
170,0.11458554729011688,0.23326733633588048,0.2278024116166015
180,0.11389479277364506,0.23193242582190515,0.22581310624481624
190,0.11495749202975557,0.2337921495200985,0.22713081441022326
200,0.11293836344314558,0.22914958757147913,0.22447883760765236
210,0.11272582359192347,0.22894653610647234,0.22638096092120585
220,0.11230074388947929,0.2283968422650676,0.22617094466208512
230,0.11224760892667376,0.22818177217752142,0.22443847242944492
240,0.11097236981934112,0.2257337685339811,0.2222333235378611
250,0.11277895855472903,0.2295331292276032,0.22574991841861022
260,0.1125664187035069,0.2290433176458681,0.22263704531679426
270,0.11339001062699257,0.23077674038088497,0.22526757408947962
280,0.11336344314558981,0.23090072196076453,0.2247944726247717
290,0.11288522848034006,0.22975094040450045,0.22501112807967652
300,0.11253985122210415,0.2289317763945819,0.2230992842127847
310,0.11272582359192349,0.2288136986994585,0.22347433965479116
320,0.11187566418703505,0.2276892195064352,0.22205382925363387
330,0.11253985122210415,0.2291230200900764,0.2225786913908256
340,0.11137088204038255,0.22658266282070744,0.22192766682096945
350,0.11198193411264612,0.2277938026078303,0.22216943089902488
360,0.11230074388947929,0.22820201406811397,0.2234353576168362
370,0.11214133900106268,0.22745559435251256,0.22312744209557275
380,0.1137088204038257,0.23076176981596747,0.22468300223659823
390,0.11219447396386822,0.22769280400789435,0.22484276469745595
400,0.11333687566418704,0.2301429161817047,0.22481066147064724
410,0.1128586609989373,0.22956222694533004,0.2242147870942277
420,0.11224760892667375,0.22864396201271867,0.22257398211290771
430,0.1126461211477152,0.2295649680346811,0.22585280409702585
440,0.11214133900106268,0.22798567886240573,0.224008541369439
450,0.11200850159404888,0.22781172511512573,0.22292379842425003
460,0.111769394261424,0.22743366563770392,0.22312527634358328
470,0.11187566418703505,0.22779169407756017,0.22331296491954686
480,0.11137088204038256,0.22671655449285633,0.2216709570367983
490,0.11009564293304994,0.22394763254221278,0.219589568917826
500,0.11248671625929864,0.22894231904593224,0.22521820977407206
